x,y,id
-121.653,195.312,26
-121.6716,195.31532,26
-121.6716,195.31532,26
-121.6716,195.31532,26
-120.8102,195.18878,26
-114.92873,194.02402,26
-109.08609,193.15273,26
-108.905556,193.13577,26
-108.905556,193.13577,26
-110.09324,190.94583,26
-112.96262,185.67642,26
-115.8699,180.33656,26
-117.22814,174.5448,26
-116.37485,168.73833,26
-115.78741,163.02646,26
-116.57466,160.42412,26
-117.67447,160.08977,26
-122.38108,158.73811,26
-122.38496,158.73692,26
-126.029526,155.0821,26
-127.38037,149.23941,26
-128.27406,144.85107,26
-128.39622,143.44049,26
-128.78279,137.45303,26
-128.90442,134.50949,26
-128.96613,134.18954,26
-127.187454,128.58014,26
-125.500725,122.90013,26
-127.1358,117.045975,26
-128.86125,111.38889,26
-130.07907,110.5635,26
-133.89984,110.138435,26
-136.25237,109.82372,26
-137.51826,108.92175,26
-138.06075,105.80339,26
-138.4286,100.624626,26
-138.67863,99.369286,26
-137.65382,93.616646,26
-137.30817,90.41467,26
-138.60327,86.07062,26
-135.23648,81.64816,26
-132.28542,78.40179,26
-129.3209,74.8495,26
-127.64442,73.36506,26
-127.56905,73.343475,26
-121.8683,73.42279,26
-119.57885,73.201744,26
-115.518486,69.13488,26
-113.4818,66.47804,26
-108.03882,64.620514,26
-105.552704,67.15766,26
-104.84691,68.16582,26
-104.84691,68.16582,26
-104.84691,68.16582,26
-104.84691,68.16582,26
-104.84691,68.16582,26
-104.84691,68.16582,26
-104.84691,68.16582,26
-104.84691,68.16582,26
-104.84691,68.16582,26
-104.84691,68.16582,26
-103.90866,68.381516,26
-97.99412,69.35345,26
-92.07334,70.27077,26
-86.82184,72.821144,26
-86.5275,73.88035,26
-86.53332,79.95747,26
-84.764465,85.59011,26
-82.758514,89.54329,26
-78.917854,89.547554,26
-76.16545,86.40746,26
-76.16545,86.40746,26
-76.16545,86.40746,26
-76.16545,86.40746,26
-75.228836,84.993706,26
-71.64163,80.25722,26
-69.94272,79.12194,26
-66.74016,78.97914,26
-66.58048,78.9484,26
-63.15082,75.56004,26
-61.383274,71.19068,26
-60.737263,69.21897,26
-59.876938,67.5696,26
-59.189465,66.67679,26
-54.230255,63.85901,26
-48.41072,64.484795,26
-46.5189,66.24759,26
-46.5189,66.24759,26
-46.5189,66.24759,26
-46.5189,66.24759,26
-46.5189,66.24759,26
-49.981064,68.489075,26
-50.31334,68.68298,26
-51.054157,69.503746,26
-52.188007,74.14737,26
-51.775593,75.658134,26
-50.673977,79.6861,26
-50.673977,79.6861,26
-50.963623,81.62462,26
-53.215702,84.55132,26
-55.916885,86.0784,26
-61.228203,85.055626,26
-61.946648,84.93374,26
-67.45523,83.24166,26
-72.91086,80.61463,26
-74.78027,79.077934,26
-76.68939,78.51778,26
-82.311714,77.502426,26
-85.75118,74.5652,26
-89.18944,70.97262,26
-94.94896,71.56627,26
-98.23319,76.3994,26
-99.33342,82.28463,26
-99.936806,85.91777,26
-99.936806,85.91777,26
-98.93199,87.726715,26
-96.023766,92.96613,26
-95.761604,93.42563,26
-97.265625,96.81241,26
-100.563644,101.60586,26
-104.960106,105.28485,26
-106.62907,108.40542,26
-107.97941,110.262115,26
-108.496994,116.201935,26
-108.623146,117.66036,26
-106.47809,121.328094,26
-101.42207,124.0611,26
-96.37411,121.33312,26
-96.07406,121.10312,26
-94.83265,120.537865,26
-93.35019,115.209854,26
-93.31209,111.43095,26
-93.33258,111.41705,26
-98.17783,108.68483,26
-98.813934,108.34882,26
-100.84519,104.06273,26
-102.653244,100.384865,26
-101.623695,97.494774,26
-100.55823,91.61179,26
-98.63196,86.67784,26
-94.35469,85.08197,26
-88.53235,85.10452,26
-83.195076,87.75183,26
-77.9935,90.61815,26
-75.8417,96.11973,26
-73.806015,101.46659,26
-73.778336,101.544464,26
-73.778336,101.544464,26
-73.778336,101.544464,26
-73.778336,101.544464,26
-71.67058,105.78646,26
-70.455414,111.52239,26
-70.32149,117.362915,26
-65.85524,121.28828,26
-61.92842,125.883194,26
-59.281967,131.0562,26
-61.531734,136.43532,26
-63.020348,138.97884,26
-65.914444,140.72878,26
-67.45181,140.41228,26
-73.27794,140.29903,26
-77.77799,141.78592,26
-82.03736,142.73538,26
-82.69077,142.24565,26
-87.62136,138.68884,26
-93.311226,137.02829,26
-97.771706,140.71971,26
-100.305,146.02963,26
-98.56442,151.6719,26
-96.83636,157.38216,26
-96.180214,160.19572,26
-95.868835,161.09741,26
-93.47567,166.56894,26
-91.92803,172.0315,26
-91.788185,174.19423,26
-91.796455,176.40855,26
-95.423676,180.14833,26
-100.607124,182.82768,26
-101.655655,188.68182,26
-98.746445,193.90147,26
-95.45586,198.9178,26
-94.78964,199.81744,26
-91.546455,201.74243,26
