id;speed_mean;speed_var;acceleration_mean;acceleration_var;angle_mean;angle_var;angular_speed_mean;angular_speed_var;angular_acceleration_mean;angular_acceleration_var;curvature_mean;curvature_var;avg_distance_to_hull;diameter;time_ratio_spent_on_right_side;length;mushrooms;label
29;0.06741702345992988;1.8581618707112926;5.849592446788119e-05;2.46332539018048;0.012713133377438395;0.00448747938976368;3.897282207366024e-07;4.634314761396314;3.390393598088777e-06;8865.762207997896;-6.711492703030287e-05;0.0018829059538977683;76.99985409624693;430.27336883472174;0.05826860895363179;2258.6108132493177;76;36
5;-0.08981011565013428;0.8657431029692841;-0.0011556869316469852;1.2970120688063427;0.0037187701069198143;0.0008803639693604295;1.2101260674481714e-07;0.9831116192308562;-3.3679010347652926e-18;1825.7998590962238;0.00021321261418428227;0.0002253238732691241;75.23580170719245;284.7330374280086;0.0;1121.2887083561377;44;26
35;0.06285375241828256;1.3712622453983714;1.9233714295145717e-05;1.7072269572592813;0.008064648506390099;0.0007226219745876697;8.530782291356043e-19;0.5628761472506522;5.773544631026216e-18;1043.1606139470362;0.00011534300599612518;0.0007246066377897138;69.45473875943621;356.6993221983824;0.0;1713.2451334478326;76;34
19;0.13515318033734802;1.7676969239633502;0.0014809960007262203;5.042893880760612;0.01809262375059925;0.007931056480047195;2.3154668739778166e-06;4.975145511521625;-0.0005420253737259039;8770.38784118571;-0.0007750734561835575;0.0037280639798690242;79.4735251306286;619.3324237889246;0.49244974832494415;2120.1776119781002;76;49
20;0.07854128461717343;0.7083131387252315;1.9233714295145717e-05;2.3848241364723215;0.01049503857167271;0.004458018797185748;-2.230309187994983e-18;4.338946525114113;1.130458188259859e-16;8077.404099514488;-0.0006626881295900883;0.002283526586788855;40.40305760595956;226.79799053937816;0.0;895.7829502081221;44;19
38;0.1437107462335868;1.0782395442889159;0.0011367760973697075;1.203362483426743;0.006245952590867015;0.0005852540639624846;3.5441877824142204e-08;0.4097418646510641;8.860469455886919e-07;737.5224336778027;0.00032902047353574156;0.0005718709368152422;94.44275415065864;265.4241597879024;0.0;1367.0978372229845;62;35
4;0.21902747897833488;2.0908728204712865;0.0004778226873653556;5.541096884211658;0.025148133044217143;0.004267969488419763;2.0633771449437265e-06;3.342700922537485;4.6677852354079685e-05;6418.650704262015;0.00025625823895743987;0.0036669174668332;99.08736803948602;529.8535609712238;0.5450848361612054;2411.782934532305;124;24
36;0.11098694027213304;1.3089684502562076;-0.00016666569783851476;1.3170668195581534;0.007114119055946724;0.00044015877190545244;6.12513869509512e-19;0.3260182576689362;-4.66423945039434e-06;589.4718544355583;8.061980434559362e-05;0.00043955327402452787;47.236493049674976;265.1989210306018;0.0;1652.3467982628124;54;20
24;0.106219582831401;1.2460261908405685;-0.0010098594134231751;1.32463003110357;0.008440019671564747;0.0005002637394254079;1.7558014433234925e-05;0.3097083867909741;5.562817762926764e-05;589.7790018631558;1.653824619200007e-05;0.0005525673980148278;108.04351565663205;386.59735740422633;0.3743791459715324;1567.3162075545454;87;21
14;0.10580644026399652;2.3001105035054565;2.237310154579967e-05;4.898673298947684;0.019653804608115576;0.0035533371859967455;2.8890839903644706e-07;3.9110131229985674;-2.82238038297094e-05;7684.550800098553;0.0010689085374908606;0.002587264755218632;104.71776213314988;405.4493526337365;0.0;2429.1830955972046;85;26
25;0.1159089033949716;1.2361479023908395;1.9233714295145717e-05;1.350502001354221;0.005710301189898486;0.0009829093729338593;1.2749911060182893e-18;0.9427027149396158;1.5795825952064032e-17;1698.0524802799605;-0.00044545189536021;0.0005534323290249182;96.63775264423387;362.66052620356805;0.0;1551.3309078595776;70;46
11;0.18946275495514805;1.2584885944696367;-0.0008960367560474084;1.7311573682548986;0.008575854689321103;0.0015701491101993658;4.42832653968108e-06;1.0498624296580539;5.774865451436784e-05;1687.8444001951962;0.0003406222759285476;0.0010779905037053342;87.34927762080548;525.1209415166064;0.5843861462048735;1587.1259699471884;62;45
27;-0.03354806917191696;1.8033018863084067;-0.000836706310917961;4.925285874337154;0.02433156752551901;0.0029377561464785616;3.8635805888398466e-08;3.054124527629936;3.7779707431740776e-17;6180.790576737437;0.0012792864293844086;0.003124898794878709;122.99514613731694;320.5667229119988;0.0;2079.9904206677916;78;32
9;0.061666648366767746;1.3440271522321645;-0.0010320238848035832;1.1419609667720216;0.004122242791426926;0.00028128115346713975;7.472512774734445e-05;0.2041600938136163;0.0004785584961604325;383.80344187571933;-4.30635251024923e-06;0.0002864885975370706;79.94552201892046;429.79718533586174;0.0;1672.3680482055458;71;26
28;-0.08484909825185448;1.4403161180648913;1.9233714295145717e-05;1.7983153525253333;0.006419409550729195;0.0009768391334598128;8.308722882470419e-19;0.7459396302242317;-1.0485367713318043e-17;1349.535216663439;-0.00022782018081725047;0.0008719238610023387;79.89789796284121;473.1069447127626;0.0;1746.3480583513797;67;17
39;-0.03866557876573689;3.1242653159147977;0.0015392534907193683;10.148433587151363;0.02448642863125847;0.007678421201636074;1.9938199806179354e-08;8.16431573060549;-6.568077458114021e-07;15104.845723255245;0.00034768817579776444;0.0047674313199964815;60.745917214034506;564.2588343111486;0.5245841528050935;2867.4524763783143;95;10
8;0.008740976176640854;1.432756458270911;-0.0010438012439168702;1.247268149224393;0.006254007140370635;0.0005709211462867424;1.2418461995764079e-11;0.4188967499246634;-0.00011146408663232111;745.9021387433162;-0.00022426291974791802;0.0005493698560957126;80.38641836157821;438.04095213721314;0.0;1767.9553142497887;75;33
31;0.14410030365753224;2.1699981005455125;1.9233714295145717e-05;4.4128424428175235;0.016709582884166026;0.006185791796120803;2.8608653844764517e-18;5.952086846357712;8.476747835193875e-17;11117.620658498136;-2.509717089982739e-05;0.0024686319449500464;101.91340144593211;486.81826182311227;0.18680622687422915;2364.870634931789;75;32
30;0.14424085283257165;2.9246724449890587;-0.0015682232793994535;11.50339463452411;0.033480651761890835;0.006712967237819695;8.826539322902628e-06;6.761237578200765;3.204793828574817e-06;12600.713921893594;-0.0005006191476910805;0.005863134535237247;108.8111788222263;529.1542730831324;0.8509283642788092;2829.1130569965467;134;37
22;0.08079853286122599;1.4167352733653222;0.0002829819824291997;1.9917844861748564;0.00799197440158635;0.0013038904450719548;1.0196970466040612e-06;1.1102989213415873;5.780976418713041e-07;2006.8507354981132;-0.0005860353808581852;0.0009116375030787196;67.62587770085022;488.8137168576024;0.0;1713.5874080046394;66;23
33;0.09431693385271908;1.2717569194223912;0.0005822967263776244;1.3116705724472368;0.006357144970377284;0.0006438443521048732;5.133204859357111e-07;0.5297574708769681;6.291780401684396e-07;944.8711307705759;0.00018588220691724224;0.0005669129043093945;46.73351763139577;449.93509140576214;0.0;1592.5083504392724;60;26
13;0.020885663840347738;2.406224271641195;-0.0010605565436133243;5.96282705360376;0.031048988105262385;0.0027620476211074677;2.396239495070724e-05;1.6857342800637614;-5.704104669470653e-05;3040.197512148396;-0.00042895701538194;0.0035662250308526123;67.94564756848101;548.7910709218431;0.664455481849395;2589.777046944358;150;33
26;0.05776725122790168;1.1476170870662976;0.0003961588797692307;1.2364576463470451;0.005698872802203552;0.0013514976901946695;4.289980941756423e-07;1.2173454782339836;6.321144532359346e-06;2140.6406674653845;0.00018266051982614905;0.0005748521692282521;46.50180471510798;345.11477337083016;0.0;1430.5138016403916;67;32
10;-0.02027982488871654;1.4771578591874563;0.0008514495092722978;1.7473065898275175;0.011762297683376432;0.0010743903227598776;5.233416385622143e-05;0.9252381420025247;-5.529057746119185e-05;1792.7140737945672;0.0004429760574056192;0.0011132774290304134;81.81847529406161;320.3983996616025;0.0;1821.788217243141;79;31
7;-0.004790658847166146;2.080101476395042;-0.00045318445830959045;3.601077162286977;0.021097300997128175;0.002787656311812837;7.240325583925241e-09;2.3090843847319165;-0.00021788130519994394;4308.795689699711;0.0008417716350732206;0.0024816387576482037;74.91470820173497;583.2900226200305;0.506183539451315;2332.89923771878;121;53
17;-0.03496116062380233;1.6418993841209104;-0.001154022857708743;1.2183580677359762;0.007011556218835421;0.0012995951323646522;1.3107570917948933e-05;1.1875865745039114;-5.308311594607416e-05;2116.870801573378;-0.0004102654896504523;0.0006228362736191177;99.57785025641185;475.2167072691849;0.0;2013.161146756705;83;20
1;0.06865545847994683;1.4337547344328903;0.0005001163107529109;1.4218059575014488;0.007092179598513526;0.000802590893620003;4.420843125095469e-06;0.7868487702240567;5.9054558212231756e-05;1504.8721236424765;-0.00010458895359824295;0.0006698159368438517;98.67360911784122;443.18842331403573;0.0;1783.4749373058287;85;22
12;0.023174877206169214;1.7178595270402026;0.0004402692575948748;1.9048257920479144;0.012832508895592218;0.0014432498745017939;1.5237283437499725e-05;1.1236522293238183;-0.0003277551821298534;2063.088811701618;0.00015682767432504264;0.0012419236383496867;91.59924164994018;485.8859914655095;0.6476882562752092;2108.81596610809;98;21
18;0.17511252204818212;1.5759254145336015;-0.0011285898470705339;1.102144881523895;0.004394142773632862;0.00040499041081368844;4.636068440198034e-19;0.31131004465762285;-0.00016427053510757164;578.4152714156451;3.14041539173909e-05;0.00039222931526540516;96.26635163659071;504.60848740284587;0.20070669022300744;1981.191390950738;105;48
21;0.19041154613351177;1.7746783999030937;0.0004399910840410194;0.6947360438332588;0.0067008306552629755;0.0005334441732689452;2.2540329535545664e-07;0.4344631896466311;1.728362399159771e-18;778.0925551645754;0.0004131627390228186;0.00047359983766323153;63.79615096118572;540.1087013505289;0.2535417847261575;2188.0592071553187;57;34
16;0.18655046541473533;1.6336170501928362;0.001093937370075974;1.4262966841182;0.005870513137960288;0.0006468927829242274;3.536017085373122e-07;0.6455653828963879;1.4083522685830981e-06;1207.020284874081;-9.200640578035184e-05;0.00032794870180148585;90.9928030853766;482.32500788977;0.13107103570119005;2067.24983181964;89;40
15;0.05454757355222607;1.4179570192471505;0.0008751936090478135;1.845356155336293;0.009327599485959596;0.001952136180131105;1.5889633491135233e-07;1.7807620942027305;-1.0170344058149991e-16;3279.5839078165623;0.0005214837526046061;0.0011687567192008017;110.21997072487864;332.10459656117183;0.0;1744.3652741108697;50;34
6;0.0770265304674283;0.6899267595832839;1.9233714295145717e-05;2.4621515343108227;0.004520443370712104;0.0007588027620138939;-4.2948834109206435e-19;0.6344855024197152;-5.769103442848503e-17;1156.7430523742755;0.00022421966069183637;0.0006487906643298187;75.18536993278218;203.68744945284993;0.0;963.9629304858142;32;4
23;0.022494809231254864;0.8679080465979723;-0.00019035515638023736;1.7074048886152284;0.004225012564479534;0.0010292972766456604;3.9874674624885063e-10;1.1609372454032563;9.968668742607928e-09;2177.7137947518936;0.00036250651698271316;0.0003626851294004296;123.20348069951302;340.6521817373238;0.18333944464815494;1132.8854908743042;43;36
2;0.1928007485858758;1.8625361523163142;-0.0008065443498642097;2.69832254518428;0.020383373021180283;0.001733924178134664;2.8623405279435737e-05;0.9462918165667821;0.000229956297550511;1609.669241232927;-0.0002237308390121478;0.002024393019946744;85.8592702804883;504.9130043068521;0.6643221440714691;2292.3650685761154;103;39
34;0.25010565788207495;2.1219607508792686;-0.0011147606475360077;5.402209154208049;0.02888191793106265;0.003311728827235657;2.285734697900036e-06;2.9077596485710475;-0.00010652525390529363;5560.638489938882;0.000307670093811504;0.0033000694450843774;96.8335401979806;545.973791701586;0.7027900930031001;2376.750426651558;114;29
37;0.04992055228506933;1.3334641618146275;1.9233714295145717e-05;1.4245456852022242;0.005667796261090558;0.00047216081213125044;-7.563898615166556e-20;0.3350476227820096;4.822390162966128e-18;610.6842623348753;-0.00014866139295638094;0.0004630035861972678;70.24550919756363;461.3811850410886;0.0;1671.1992424627526;81;32
32;0.09083376859726847;1.7744085101212919;-0.0009185290748305746;2.7225573945173087;0.017902645521855883;0.0025429144212234154;2.147599634177636e-06;2.21985556838309;5.226576928643435e-05;4160.396445812486;-0.0007598012443920962;0.002130900995061256;78.8794108728519;311.53677673287666;0.0;2172.597733499555;109;33
3;0.1019652696186419;1.0516065438173856;8.893605907548785e-05;1.06445857267425;0.005518790066006291;0.000333077650306213;7.979599234813735e-07;0.2611861089563239;-0.0015759161140406833;509.1759309977277;0.00018504992750926322;0.0003389071779372461;59.49274908307323;438.60161431093985;0.19800660022000732;1322.4164011803975;71;31
